15/01/2021,01:27:38,25
15/01/2021,01:28:38,24
15/01/2021,01:30:31,20
15/01/2021,01:36:39,20
15/01/2021,01:40:06,19
15/01/2021,01:42:54,19
15/01/2021,01:44:22,18
15/01/2021,01:44:53,20
15/01/2021,01:48:42,22
15/01/2021,02:06:46,20
15/01/2021,02:07:53,25
15/01/2021,02:10:51,24
15/01/2021,02:19:26,20
15/01/2021,23:01:01,20
15/01/2021,23:01:51,22
16/01/2021,01:01:43,20
16/01/2021,01:03:10,21
16/01/2021,23:56:00,25
17/01/2021,17:56:23,30
17/01/2021,17:57:32,32
17/01/2021,17:59:11,30
18/01/2021,13:07:23,27
18/01/2021,13:20:06,27.5
18/01/2021,14:11:52,29
18/01/2021,14:24:24,30
